occ_dow,occ_year,premises_type,mci_category
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Apartment,Assault
Wednesday,2014,Outside,Theft Over
Wednesday,2014,Outside,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Outside,Robbery
Wednesday,2014,Outside,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,Transit,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,House,Break and Enter
Wednesday,2014,Outside,Robbery
Wednesday,2014,Apartment,Assault
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Apartment,Assault
Wednesday,2014,House,Break and Enter
Wednesday,2014,Other,Assault
Wednesday,2014,Outside,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Outside,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Other,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Commercial,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Apartment,Robbery
Wednesday,2014,Outside,Assault
Wednesday,2014,Commercial,Robbery
Wednesday,2014,Apartment,Break and Enter
Wednesday,2014,House,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Commercial,Assault
Thursday,2013,Commercial,Break and Enter
Wednesday,2014,Apartment,Assault
Wednesday,2014,Apartment,Break and Enter
Wednesday,2014,Apartment,Assault
Wednesday,2014,Outside,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Outside,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Apartment,Break and Enter
Wednesday,2014,Transit,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Commercial,Break and Enter
Sunday,2013,Apartment,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Transit,Assault
Wednesday,2014,Apartment,Assault
Monday,2013,Apartment,Break and Enter
Wednesday,2014,Apartment,Assault
Wednesday,2014,Outside,Assault
Tuesday,2013,Apartment,Auto Theft
Wednesday,2014,Outside,Auto Theft
Wednesday,2013,Outside,Auto Theft
Thursday,2012,Apartment,Assault
Wednesday,2014,Commercial,Theft Over
Tuesday,2013,Commercial,Break and Enter
Tuesday,2013,Transit,Assault
Tuesday,2013,Commercial,Assault
Wednesday,2014,House,Assault
Tuesday,2013,House,Assault
Tuesday,2013,Commercial,Break and Enter
Tuesday,2013,House,Break and Enter
Tuesday,2013,Commercial,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Other,Assault
Wednesday,2014,Outside,Assault
Tuesday,2013,Commercial,Assault
Tuesday,2013,House,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Outside,Assault
Wednesday,2014,Outside,Robbery
Wednesday,2014,Commercial,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,House,Assault
Wednesday,2014,Commercial,Break and Enter
Wednesday,2014,Transit,Assault
Wednesday,2014,Outside,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,Commercial,Assault
Wednesday,2014,Outside,Assault
Wednesday,2014,Apartment,Assault
Wednesday,2014,House,Assault
Thursday,2014,Outside,Assault
Thursday,2014,Apartment,Assault
Tuesday,2013,Apartment,Break and Enter
Tuesday,2013,Apartment,Theft Over
Thursday,2014,Outside,Assault
Thursday,2014,Apartment,Assault
Wednesday,2013,Apartment,Assault
Thursday,2014,Apartment,Assault
Thursday,2014,House,Break and Enter
Wednesday,2013,Apartment,Assault
Thursday,2013,Commercial,Assault
Thursday,2014,Commercial,Theft Over
Wednesday,2014,Commercial,Assault
Wednesday,2014,Outside,Auto Theft
Wednesday,2014,Outside,Auto Theft
Thursday,2014,House,Auto Theft
Thursday,2014,Outside,Auto Theft
Thursday,2014,Apartment,Assault
Thursday,2014,Commercial,Break and Enter
Thursday,2014,Apartment,Assault
Thursday,2014,Commercial,Break and Enter
Thursday,2014,Apartment,Assault
Thursday,2014,Outside,Robbery
Thursday,2014,Commercial,Assault
Thursday,2014,Apartment,Break and Enter
Thursday,2014,Other,Break and Enter
Thursday,2014,House,Assault
Thursday,2014,Apartment,Break and Enter
Monday,2013,Commercial,Assault
Monday,2013,Commercial,Break and Enter
Thursday,2014,House,Assault
Thursday,2014,House,Assault
Thursday,2014,House,Assault
Thursday,2014,Apartment,Break and Enter
Thursday,2014,Outside,Assault
Thursday,2014,Apartment,Break and Enter
